2023_RGB_8cm_W07D_7: left=-4000.0, bottom=-3777000.0, right=-3000.0, top=-3776000.0
2023_RGB_8cm_W07D_11: left=-5000.0, bottom=-3778000.0, right=-4000.0, top=-3777000.0
2023_RGB_8cm_W07D_12: left=-4000.0, bottom=-3778000.0, right=-3000.0, top=-3777000.0
2023_RGB_8cm_W07D_16: left=-5000.0, bottom=-3779000.0, right=-4000.0, top=-3778000.0
2023_RGB_8cm_W07D_17: left=-4000.0, bottom=-3779000.0, right=-3000.0, top=-3778000.0
2023_RGB_8cm_W07D_21: left=-5000.0, bottom=-3780000.0, right=-4000.0, top=-3779000.0
2023_RGB_8cm_W07D_22: left=-4000.0, bottom=-3780000.0, right=-3000.0, top=-3779000.0
2023_RGB_8cm_W08A_1: left=-10000.0, bottom=-3781000.0, right=-9000.0, top=-3780000.0
2023_RGB_8cm_W08A_2: left=-9000.0, bottom=-3781000.0, right=-8000.0, top=-3780000.0
2023_RGB_8cm_W08A_3: left=-8000.0, bottom=-3781000.0, right=-7000.0, top=-3780000.0
2023_RGB_8cm_W08A_4: left=-7000.0, bottom=-3781000.0, right=-6000.0, top=-3780000.0
2023_RGB_8cm_W08A_5: left=-6000.0, bottom=-3781000.0, right=-5000.0, top=-3780000.0
2023_RGB_8cm_W08A_6: left=-10000.0, bottom=-3782000.0, right=-9000.0, top=-3781000.0
2023_RGB_8cm_W08A_7: left=-9000.0, bottom=-3782000.0, right=-8000.0, top=-3781000.0
2023_RGB_8cm_W08A_8: left=-8000.0, bottom=-3782000.0, right=-7000.0, top=-3781000.0
2023_RGB_8cm_W08A_9: left=-7000.0, bottom=-3782000.0, right=-6000.0, top=-3781000.0
2023_RGB_8cm_W08A_10: left=-6000.0, bottom=-3782000.0, right=-5000.0, top=-3781000.0
2023_RGB_8cm_W08A_11: left=-10000.0, bottom=-3783000.0, right=-9000.0, top=-3782000.0
2023_RGB_8cm_W08A_12: left=-9000.0, bottom=-3783000.0, right=-8000.0, top=-3782000.0
2023_RGB_8cm_W08A_13: left=-8000.0, bottom=-3783000.0, right=-7000.0, top=-3782000.0
2023_RGB_8cm_W08A_14: left=-7000.0, bottom=-3783000.0, right=-6000.0, top=-3782000.0
2023_RGB_8cm_W08A_15: left=-6000.0, bottom=-3783000.0, right=-5000.0, top=-3782000.0
2023_RGB_8cm_W08A_16: left=-10000.0, bottom=-3784000.0, right=-9000.0, top=-3783000.0
2023_RGB_8cm_W08A_17: left=-9000.0, bottom=-3784000.0, right=-8000.0, top=-3783000.0
2023_RGB_8cm_W08A_18: left=-8000.0, bottom=-3784000.0, right=-7000.0, top=-3783000.0
2023_RGB_8cm_W08A_19: left=-7000.0, bottom=-3784000.0, right=-6000.0, top=-3783000.0
2023_RGB_8cm_W08A_20: left=-6000.0, bottom=-3784000.0, right=-5000.0, top=-3783000.0
2023_RGB_8cm_W08A_21: left=-10000.0, bottom=-3785000.0, right=-9000.0, top=-3784000.0
2023_RGB_8cm_W08A_22: left=-9000.0, bottom=-3785000.0, right=-8000.0, top=-3784000.0
2023_RGB_8cm_W08A_23: left=-8000.0, bottom=-3785000.0, right=-7000.0, top=-3784000.0
2023_RGB_8cm_W08A_24: left=-7000.0, bottom=-3785000.0, right=-6000.0, top=-3784000.0
2023_RGB_8cm_W08A_25: left=-6000.0, bottom=-3785000.0, right=-5000.0, top=-3784000.0
2023_RGB_8cm_W08B_1: left=-5000.0, bottom=-3781000.0, right=-4000.0, top=-3780000.0
2023_RGB_8cm_W08B_2: left=-4000.0, bottom=-3781000.0, right=-3000.0, top=-3780000.0
2023_RGB_8cm_W08B_3: left=-3000.0, bottom=-3781000.0, right=-2000.0, top=-3780000.0
